Type,Product,Brand,Name,Price
SkinCare,防曬,AVIVA,水漾防晒隔離霜 SPF30★★★ Sunscreen Protection Cream SPF30★★★,333
SkinCare,防曬,SOFINA 蘇菲娜,芯美顏美白日間保濕防護乳SPF50+/PA+++,800
SkinCare,防曬,SEA BREEZE 海洋微風,活力清香防曬乳 SPF25 PA++,280
SkinCare,防曬,ARTISTRY 安麗,全效潤色隔離乳SPF30 PA+++ MULTI PROTECT,1065
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,臉部溫和防曬露SPF46/PA+++ mild face sunscreenSPF46/PA+++,1200
SkinCare,防曬,SOFINA 蘇菲娜,芯美顏日間保濕防護乳SPF24 PA+++,800
SkinCare,防曬,NIVEA 妮維雅,高感防曬水乳液SPF50+/PA+++,239
SkinCare,防曬,Dior 迪奧,透亮嫩白防護隔離霜PF50.PA+++ Perfect Brightening Protective UV Base,1500
SkinCare,防曬,OMI 近江兄弟社,近江艷陽防曬隔離乳液SPF50.PA+++,0
SkinCare,防曬,LA ROCHE-POSAY 理膚寶水,全護清爽防曬亮白乳SPF50+/PPD18.1 (PA++++) UVIDEA XL Tone-up light cream UVA PRO SPF50+ PPD18.1 (PA++++),980
SkinCare,防曬,SOFINA 蘇菲娜,透美顏飽水控油雙效日間防護乳(美白)SPF50+/PA++++,500
SkinCare,防曬,MONA FREM'A,上麗高效透明光感水防曬 Supreme High Protection Aqua Facial Gel,0
SkinCare,防曬,SENKA 專科,完美防曬水凝膠SPF50+/PA++++,340
SkinCare,防曬,userISM 分效美療,物理柔霧防曬DD霜SPF50+★★★ Fully Physical Soft Matte D.D Cream SPF50+★★★,1390
SkinCare,防曬,SK-II,超輕感全效防護乳SPF30/PA+++ Atmosphere Airy Light UV Emulsion,2280
SkinCare,防曬,SUQQU,水感高效防護菁華SPF50/PA++++ FACE PROTECTOR 50 ADVANCED,2300
SkinCare,防曬,Dr. Hsieh 達特醫,全效控油防曬隔離液(白色)SPF50★★★,650
SkinCare,防曬,WHITE FORMULA 自白肌,玻尿酸高係數防曬乳SPF50+(戶外型) UV Protective Lotion With Hyaluronic Acid SPF50+(For outdoor use),150
SkinCare,防曬,+ONE% 歐恩伊,超光感鑽白防曬凝乳SPF50+★★★ Intensive Whitening Blocker,950
SkinCare,防曬,GUERLAIN 嬌蘭,珍珠柔光UV隔離防護乳SPF50+/PA++++,2400
SkinCare,防曬,CHANEL 香奈兒,珍珠光感超淨白防曬妝前乳SPF40/PA+++ LIGHT CREATOR BRIGHTENING MAKEUP BASE SPF 40 / PA +++,1900
SkinCare,防曬,WHITE FORMULA 自白肌,玻尿酸水感保濕 防曬凝露SPF50+,380
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,安耐曬粉藍防曬水凝乳SPF50+/PA++++,1100
SkinCare,防曬,LA ROCHE-POSAY 理膚寶水,安得利清爽極效夏卡防曬液SPF50+/PPD42 ANTHELIOS XL FLUIDE ULTRA LIGHT SPF50+/PPD42,1100
SkinCare,防曬,LA ROCHE-POSAY 理膚寶水,全護清爽防曬液UVA PRO透明色SPF50/PPD26 UVIDEA XL Cream 50 SPF50/PPD26,980
SkinCare,防曬,Hada-Labo 肌研,玻尿酸保濕防曬水凝乳SPF50+ PA+++,350
